Lily Asquith,cFhAMkoAAAAJ,NOvA
Lily Asquith,cFhAMkoAAAAJ,Machine Learning
Ilya Sutskever,x04W_mMAAAAJ,Machine Learning
Ilya Sutskever,x04W_mMAAAAJ,Neural Networks
Ilya Sutskever,x04W_mMAAAAJ,Artificial Intelligence
Jonathan Hays,1DS8DjgAAAAJ,Particle Physics
Jonathan Hays,1DS8DjgAAAAJ,Higgs bosons
Jonathan Hays,1DS8DjgAAAAJ,Machine learning
Jonathan Hays,1DS8DjgAAAAJ,Big data
Jonathan Hays,1DS8DjgAAAAJ,Proteomics
Maurizio Pierini,3vZMAs4AAAAJ,Particle Physics
Maurizio Pierini,3vZMAs4AAAAJ,Machine Learning
Leo Breiman 1928-2005,mXSv_1UAAAAJ,Data Analysis
Leo Breiman 1928-2005,mXSv_1UAAAAJ,Statistics
Leo Breiman 1928-2005,mXSv_1UAAAAJ,Machine Learning
Yann LeCun,WLN3QrAAAAAJ,AI
Yann LeCun,WLN3QrAAAAAJ,machine learning
Yann LeCun,WLN3QrAAAAAJ,computer vision
Yann LeCun,WLN3QrAAAAAJ,robotics
Yann LeCun,WLN3QrAAAAAJ,image compression
Bernhard Schölkopf,DZ-fHPgAAAAJ,Machine Learning
Bernhard Schölkopf,DZ-fHPgAAAAJ,Causal Inference
Bernhard Schölkopf,DZ-fHPgAAAAJ,Artificial Intelligence
Bernhard Schölkopf,DZ-fHPgAAAAJ,Computational Photography
Bernhard Schölkopf,DZ-fHPgAAAAJ,Statistics
Andrew Ng,mG4imMEAAAAJ,Machine Learning
Andrew Ng,mG4imMEAAAAJ,Deep Learning
Andrew Ng,mG4imMEAAAAJ,AI
David Lopez Mateos,P6krKIkAAAAJ,Data science
David Lopez Mateos,P6krKIkAAAAJ,high energy physics
David Lopez Mateos,P6krKIkAAAAJ,machine learning
Kalyanmoy Deb,paTAXiIAAAAJ,Optimization
Kalyanmoy Deb,paTAXiIAAAAJ,Evolutionary Computation
Kalyanmoy Deb,paTAXiIAAAAJ,Multiobjective optimization
Kalyanmoy Deb,paTAXiIAAAAJ,Machine Learning
Kalyanmoy Deb,paTAXiIAAAAJ,Artificial Intelligence
Wolfgang Waltenberger,nKC5jkgAAAAJ,LHC
Wolfgang Waltenberger,nKC5jkgAAAAJ,particle physics
Wolfgang Waltenberger,nKC5jkgAAAAJ,data analysis
Wolfgang Waltenberger,nKC5jkgAAAAJ,statistics
Wolfgang Waltenberger,nKC5jkgAAAAJ,machine learning
Jeff Dean,NMS69lQAAAAJ,Distributed systems
Jeff Dean,NMS69lQAAAAJ,information retrieval
Jeff Dean,NMS69lQAAAAJ,machine learning
Jeff Dean,NMS69lQAAAAJ,compilers
Jeff Dean,NMS69lQAAAAJ,computer architecture
Nuno Castro,tiPVEV8AAAAJ,High Energy Physics
Nuno Castro,tiPVEV8AAAAJ,New Physics Searches
Nuno Castro,tiPVEV8AAAAJ,Top Quark Physics
Nuno Castro,tiPVEV8AAAAJ,Data Science
Nuno Castro,tiPVEV8AAAAJ,Machine Learning
Saurab Dutta,b-IqFKkAAAAJ,Machine Learning
Saurab Dutta,b-IqFKkAAAAJ,Deep Learning
Daniele Bonacorsi,7_xEzmUAAAAJ,High Energy Physics
Daniele Bonacorsi,7_xEzmUAAAAJ,Software/Computing
Daniele Bonacorsi,7_xEzmUAAAAJ,Big Data
Daniele Bonacorsi,7_xEzmUAAAAJ,Machine Learning
Daniele Bonacorsi,7_xEzmUAAAAJ,Deep Learning
Michael Kagan,KtMij1EAAAAJ,Particle Physics
Michael Kagan,KtMij1EAAAAJ,Machine Learning
Sara Borroni,PGEep1MAAAAJ,Artificial Intelligence
Sara Borroni,PGEep1MAAAAJ,Machine Learning
Sara Borroni,PGEep1MAAAAJ,Natural Language Processing
